"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"°C"	""	""	""	""	""	""
"05/13/2017 11:50'00"	"42868.4930555556"	"  17.3000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 12:00'00"	"42868.5000000000"	"  17.3000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 12:10'00"	"42868.5069444444"	"  17.3000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 12:20'00"	"42868.5138888889"	"  17.1000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 12:30'00"	"42868.5208333333"	"  17.5000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 12:40'00"	"42868.5277777778"	"  17.5000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 12:50'00"	"42868.5347222222"	"  17.5000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 13:00'00"	"42868.5416666667"	"  17.6000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 13:10'00"	"42868.5486111111"	"  17.7000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 13:20'00"	"42868.5555555556"	"  18.2000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 13:30'00"	"42868.5625000000"	"  18.9000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 13:40'00"	"42868.5694444444"	"  18.8000"	"  19.3000"	""	""	""	""	""	""	
"05/13/2017 13:50'00"	"42868.5763888889"	"  18.5000"	"  19.3000"	""	""	""	""	""	""	
"05/13/2017 14:00'00"	"42868.5833333333"	"  18.9000"	"  19.5000"	""	""	""	""	""	""	
"05/13/2017 14:10'00"	"42868.5902777778"	"  19.0000"	"  19.6000"	""	""	""	""	""	""	
"05/13/2017 14:20'00"	"42868.5972222222"	"  20.0000"	"  19.7000"	""	""	""	""	""	""	
"05/13/2017 14:30'00"	"42868.6041666667"	"  19.7000"	"  19.8000"	""	""	""	""	""	""	
"05/13/2017 14:40'00"	"42868.6111111111"	"  19.9000"	"  20.1000"	""	""	""	""	""	""	
