< Measurement Data Text Output >									
									
Date/Time	@date()	T60		ch.3	ch.4	ch.5	ch.6	ch.7	ch.8
		°C	°C						
06/28/2019 20:20'00	43644.84722	25.6	27.7						
06/28/2019 20:40'00	43644.86111	25.4	27.5						
06/28/2019 21:00'00	43644.875	25.4	27.4						
06/28/2019 21:20'00	43644.88889	25.3	27.2						
06/28/2019 21:40'00	43644.90278	25.4	27.1						
06/28/2019 22:00'00	43644.91667	25.5	27						
06/28/2019 22:20'00	43644.93056	25.5	26.9						
06/28/2019 22:40'00	43644.94444	25.5	26.9						
06/28/2019 23:00'00	43644.95833	25.5	26.8						
06/28/2019 23:20'00	43644.97222	25.3	26.7						
06/28/2019 23:40'00	43644.98611	25.3	26.6						
06/29/2019 00:00'00	43645	25.2	26.5						
06/29/2019 00:20'00	43645.01389	25	26.5						
06/29/2019 00:40'00	43645.02778	25	26.4						
06/29/2019 01:00'00	43645.04167	24.8	26.4						
06/29/2019 01:20'00	43645.05556	24.6	26.3						
06/29/2019 01:40'00	43645.06944	24.7	26.2						
06/29/2019 02:00'00	43645.08333	24.9	26.2						
06/29/2019 02:20'00	43645.09722	25.1	26.1						
06/29/2019 02:40'00	43645.11111	25.1	26.1						
06/29/2019 03:00'00	43645.125	24.8	26.1						
06/29/2019 03:20'00	43645.13889	24.7	26.1						
06/29/2019 03:40'00	43645.15278	24.8	26						
06/29/2019 04:00'00	43645.16667	24.9	26						
06/29/2019 04:20'00	43645.18056	24.9	26						
06/29/2019 04:40'00	43645.19444	24.9	26						
06/29/2019 05:00'00	43645.20833	24.8	26						
06/29/2019 05:20'00	43645.22222	24.8	26						
06/29/2019 05:40'00	43645.23611	24.9	25.9						
06/29/2019 06:00'00	43645.25	24.9	25.9						
06/29/2019 06:20'00	43645.26389	25.2	25.8						
06/29/2019 06:40'00	43645.27778	25.5	25.8						
06/29/2019 07:00'00	43645.29167	26	25.8						
06/29/2019 07:20'00	43645.30556	26.7	25.9						
06/29/2019 07:40'00	43645.31944	28.3	26						
06/29/2019 08:00'00	43645.33333	28.7	26.2						
06/29/2019 08:20'00	43645.34722	28.7	26.4						
06/29/2019 08:40'00	43645.36111	29.9	26.5						
06/29/2019 09:00'00	43645.375	29.5	26.5						
06/29/2019 09:20'00	43645.38889	29.4	26.5						
06/29/2019 09:40'00	43645.40278	32.3	26.7						
06/29/2019 10:00'00	43645.41667	30.4	27.1						
06/29/2019 10:20'00	43645.43056	29.3	27.2						
06/29/2019 10:40'00	43645.44444	29.1	27.3						
06/29/2019 11:00'00	43645.45833	28.7	27.4						
06/29/2019 11:20'00	43645.47222	31	27.6						
06/29/2019 11:40'00	43645.48611	29.4	27.7						
06/29/2019 12:00'00	43645.5	31.2	27.8						
06/29/2019 12:20'00	43645.51389	33.7	28.1						
06/29/2019 12:40'00	43645.52778	30.5	28.3						
06/29/2019 13:00'00	43645.54167	30.4	28.4						
06/29/2019 13:20'00	43645.55556	30.9	28.6						
06/29/2019 13:40'00	43645.56944	31.8	28.8						
06/29/2019 14:00'00	43645.58333	31.7	28.9						
06/29/2019 14:20'00	43645.59722	30	29.1						
06/29/2019 14:40'00	43645.61111	29.1	29						
06/29/2019 15:00'00	43645.625	29.3	28.9						
06/29/2019 15:20'00	43645.63889	28.9	28.8						
06/29/2019 15:40'00	43645.65278	29.1	28.7						
06/29/2019 16:00'00	43645.66667	29.2	28.6						
06/29/2019 16:20'00	43645.68056	28.4	28.4						
06/29/2019 16:40'00	43645.69444	28.1	28.3						
06/29/2019 17:00'00	43645.70833	28.6	28.2						
06/29/2019 17:20'00	43645.72222	28.1	28.2						
06/29/2019 17:40'00	43645.73611	27.7	28.1						
06/29/2019 18:00'00	43645.75	27.3	28.1						
06/29/2019 18:20'00	43645.76389	27.3	28						
06/29/2019 18:40'00	43645.77778	27.2	27.9						
06/29/2019 19:00'00	43645.79167	26.7	27.8						
06/29/2019 19:20'00	43645.80556	26.2	27.7						
06/29/2019 19:40'00	43645.81944	26	27.6						
06/29/2019 20:00'00	43645.83333	25.8	27.5						
06/29/2019 20:20'00	43645.84722	25.8	27.4						
06/29/2019 20:40'00	43645.86111	25.5	27.3						
06/29/2019 21:00'00	43645.875	25.6	27.2						
06/29/2019 21:20'00	43645.88889	25.5	27.1						
06/29/2019 21:40'00	43645.90278	25.5	27.1						
06/29/2019 22:00'00	43645.91667	25.5	27						
06/29/2019 22:20'00	43645.93056	25.5	27						
06/29/2019 22:40'00	43645.94444	25.3	26.9						
06/29/2019 23:00'00	43645.95833	25.4	26.9						
06/29/2019 23:20'00	43645.97222	25.4	26.8						
06/29/2019 23:40'00	43645.98611	25.4	26.8						
06/30/2019 00:00'00	43646	25.3	26.7						
06/30/2019 00:20'00	43646.01389	25.4	26.7						
06/30/2019 00:40'00	43646.02778	25.4	26.7						
06/30/2019 01:00'00	43646.04167	25.4	26.6						
06/30/2019 01:20'00	43646.05556	25.4	26.6						
06/30/2019 01:40'00	43646.06944	25.5	26.6						
06/30/2019 02:00'00	43646.08333	25.5	26.6						
06/30/2019 02:20'00	43646.09722	25.4	26.5						
06/30/2019 02:40'00	43646.11111	25.5	26.5						
06/30/2019 03:00'00	43646.125	25.5	26.5						
06/30/2019 03:20'00	43646.13889	25.5	26.5						
06/30/2019 03:40'00	43646.15278	25.4	26.5						
06/30/2019 04:00'00	43646.16667	25.4	26.5						
06/30/2019 04:20'00	43646.18056	25.4	26.4						
06/30/2019 04:40'00	43646.19444	25.4	26.4						
06/30/2019 05:00'00	43646.20833	25.4	26.4						
06/30/2019 05:20'00	43646.22222	25.4	26.4						
06/30/2019 05:40'00	43646.23611	25.4	26.4						
06/30/2019 06:00'00	43646.25	25.5	26.4						
06/30/2019 06:20'00	43646.26389	25.6	26.3						
06/30/2019 06:40'00	43646.27778	25.7	26.4						
06/30/2019 07:00'00	43646.29167	25.7	26.4						
06/30/2019 07:20'00	43646.30556	25.7	26.3						
06/30/2019 07:40'00	43646.31944	25.8	26.3						
06/30/2019 08:00'00	43646.33333	25.9	26.3						
06/30/2019 08:20'00	43646.34722	26.2	26.2						
06/30/2019 08:40'00	43646.36111	26.4	26.2						
06/30/2019 09:00'00	43646.375	26.5	26.3						
06/30/2019 09:20'00	43646.38889	27	26.2						
06/30/2019 09:40'00	43646.40278	26.8	26.4						
06/30/2019 10:00'00	43646.41667	26.7	26.3						
06/30/2019 10:20'00	43646.43056	27.2	26.4						
06/30/2019 10:40'00	43646.44444	28.2	26.4						
06/30/2019 11:00'00	43646.45833	28.6	26.5						
06/30/2019 11:20'00	43646.47222	28.8	26.6						
06/30/2019 11:40'00	43646.48611	29	26.8						
06/30/2019 12:00'00	43646.5	28.4	26.9						
06/30/2019 12:20'00	43646.51389	27.5	27						
06/30/2019 12:40'00	43646.52778	26.6	27						
06/30/2019 13:00'00	43646.54167	26.6	26.9						
06/30/2019 13:20'00	43646.55556	27.9	26.9						
06/30/2019 13:40'00	43646.56944	28	27						
06/30/2019 14:00'00	43646.58333	28	27						
06/30/2019 14:20'00	43646.59722	28.1	27.1						
06/30/2019 14:40'00	43646.61111	27.9	27.2						
06/30/2019 15:00'00	43646.625	27.8	27.2						
06/30/2019 15:20'00	43646.63889	27.2	27.2						
06/30/2019 15:40'00	43646.65278	27.1	27.2						
06/30/2019 16:00'00	43646.66667	26.4	27.2						
06/30/2019 16:20'00	43646.68056	26.3	27.1						
06/30/2019 16:40'00	43646.69444	26	27						
06/30/2019 17:00'00	43646.70833	26.7	27						
06/30/2019 17:20'00	43646.72222	26.3	27						
06/30/2019 17:40'00	43646.73611	26.1	26.9						
06/30/2019 18:00'00	43646.75	25.9	26.8						
06/30/2019 18:20'00	43646.76389	26.1	26.7						
06/30/2019 18:40'00	43646.77778	26.5	26.7						
06/30/2019 19:00'00	43646.79167	25.7	26.7						
06/30/2019 19:20'00	43646.80556	25.5	26.6						
06/30/2019 19:40'00	43646.81944	25.4	26.6						
06/30/2019 20:00'00	43646.83333	25.2	26.5						
06/30/2019 20:20'00	43646.84722	25.2	26.4						
06/30/2019 20:40'00	43646.86111	25.3	26.4						
06/30/2019 21:00'00	43646.875	25.3	26.4						
06/30/2019 21:20'00	43646.88889	25.5	26.3						
06/30/2019 21:40'00	43646.90278	25.4	26.2						
06/30/2019 22:00'00	43646.91667	25.5	26.2						
06/30/2019 22:20'00	43646.93056	25.5	26.2						
06/30/2019 22:40'00	43646.94444	25.2	26.2						
06/30/2019 23:00'00	43646.95833	24.9	26.1						
06/30/2019 23:20'00	43646.97222	24.8	26						
06/30/2019 23:40'00	43646.98611	24.5	25.9						
07/01/2019 00:00'00	43647	24.3	25.8						
07/01/2019 00:20'00	43647.01389	24.2	25.8						
07/01/2019 00:40'00	43647.02778	24	25.7						
07/01/2019 01:00'00	43647.04167	23.8	25.7						
07/01/2019 01:20'00	43647.05556	23.9	25.6						
07/01/2019 01:40'00	43647.06944	24.1	25.6						
07/01/2019 02:00'00	43647.08333	24	25.5						
07/01/2019 02:20'00	43647.09722	24.1	25.5						
07/01/2019 02:40'00	43647.11111	24.1	25.5						
07/01/2019 03:00'00	43647.125	24	25.5						
07/01/2019 03:20'00	43647.13889	24	25.4						
07/01/2019 03:40'00	43647.15278	23.9	25.4						
07/01/2019 04:00'00	43647.16667	23.7	25.4						
07/01/2019 04:20'00	43647.18056	23.9	25.4						
07/01/2019 04:40'00	43647.19444	23.8	25.3						
07/01/2019 05:00'00	43647.20833	23.7	25.3						
07/01/2019 05:20'00	43647.22222	24.2	25.3						
07/01/2019 05:40'00	43647.23611	24	25.3						
07/01/2019 06:00'00	43647.25	24.2	25.3						
07/01/2019 06:20'00	43647.26389	24.4	25.3						
07/01/2019 06:40'00	43647.27778	24	25.3						
07/01/2019 07:00'00	43647.29167	23.9	25.2						
07/01/2019 07:20'00	43647.30556	24.5	25.2						
07/01/2019 07:40'00	43647.31944	24.2	25.2						
07/01/2019 08:00'00	43647.33333	24.2	25.2						
07/01/2019 08:20'00	43647.34722	25.3	25.2						
07/01/2019 08:40'00	43647.36111	26.1	25.4						
07/01/2019 09:00'00	43647.375	25.1	25.5						
07/01/2019 09:20'00	43647.38889	25.7	25.5						
07/01/2019 09:40'00	43647.40278	25.7	25.4						
07/01/2019 10:00'00	43647.41667	25.4	25.5						
07/01/2019 10:20'00	43647.43056	26.2	25.5						
07/01/2019 10:40'00	43647.44444	26.7	25.6						
07/01/2019 11:00'00	43647.45833	26	25.7						
07/01/2019 11:20'00	43647.47222	25.9	25.8						
07/01/2019 11:40'00	43647.48611	25.8	25.8						
07/01/2019 12:00'00	43647.5	26.3	25.8						
07/01/2019 12:20'00	43647.51389	26.2	25.8						
07/01/2019 12:40'00	43647.52778	26.7	25.9						
07/01/2019 13:00'00	43647.54167	26.5	25.9						
07/01/2019 13:20'00	43647.55556	27.5	25.9						
07/01/2019 13:40'00	43647.56944	26.6	26						
