"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	""	""	""	""	""	""
"11/17/2016 00:40'00"	"42691.0277777778"	"   8.6000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 00:50'00"	"42691.0347222222"	"   8.6000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 01:00'00"	"42691.0416666667"	"   8.5000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 01:10'00"	"42691.0486111111"	"   8.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 01:20'00"	"42691.0555555556"	"   8.2000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 01:30'00"	"42691.0625000000"	"   8.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 01:40'00"	"42691.0694444444"	"   8.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 01:50'00"	"42691.0763888889"	"   8.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 02:00'00"	"42691.0833333333"	"   8.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 02:10'00"	"42691.0902777778"	"   8.1000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 02:20'00"	"42691.0972222222"	"   8.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 02:30'00"	"42691.1041666667"	"   8.5000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 02:40'00"	"42691.1111111111"	"   8.8000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 02:50'00"	"42691.1180555556"	"   8.8000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 03:00'00"	"42691.1250000000"	"   8.5000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 03:10'00"	"42691.1319444444"	"   8.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 03:20'00"	"42691.1388888889"	"   8.0000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 03:30'00"	"42691.1458333333"	"   7.5000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 03:40'00"	"42691.1527777778"	"   7.2000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 03:50'00"	"42691.1597222222"	"   7.2000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 04:00'00"	"42691.1666666667"	"   7.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 04:10'00"	"42691.1736111111"	"   7.2000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 04:20'00"	"42691.1805555556"	"   7.5000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 04:30'00"	"42691.1875000000"	"   7.2000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 04:40'00"	"42691.1944444444"	"   7.2000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 04:50'00"	"42691.2013888889"	"   6.8000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 05:00'00"	"42691.2083333333"	"   6.9000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 05:10'00"	"42691.2152777778"	"   6.9000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 05:20'00"	"42691.2222222222"	"   6.9000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 05:30'00"	"42691.2291666667"	"   6.6000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 05:40'00"	"42691.2361111111"	"   6.7000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 05:50'00"	"42691.2430555556"	"   6.8000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 06:00'00"	"42691.2500000000"	"   6.9000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 06:10'00"	"42691.2569444444"	"   6.9000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 06:20'00"	"42691.2638888889"	"   6.8000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 06:30'00"	"42691.2708333333"	"   6.9000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 06:40'00"	"42691.2777777778"	"   7.0000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 06:50'00"	"42691.2847222222"	"   7.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 07:00'00"	"42691.2916666667"	"   7.9000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 07:10'00"	"42691.2986111111"	"   8.4000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 07:20'00"	"42691.3055555556"	"   8.7000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 07:30'00"	"42691.3125000000"	"   9.1000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 07:40'00"	"42691.3194444444"	"   9.5000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 07:50'00"	"42691.3263888889"	"   9.8000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 08:00'00"	"42691.3333333333"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 08:10'00"	"42691.3402777778"	"  10.7000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 08:20'00"	"42691.3472222222"	"  11.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 08:30'00"	"42691.3541666667"	"  11.9000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 08:40'00"	"42691.3611111111"	"  12.6000"	"  96.0000"	""	""	""	""	""	""	
"11/17/2016 08:50'00"	"42691.3680555556"	"  13.6000"	"  87.0000"	""	""	""	""	""	""	
"11/17/2016 09:00'00"	"42691.3750000000"	"  14.5000"	"  84.0000"	""	""	""	""	""	""	
"11/17/2016 09:10'00"	"42691.3819444444"	"  15.0000"	"  78.0000"	""	""	""	""	""	""	
"11/17/2016 09:20'00"	"42691.3888888889"	"  14.5000"	"  77.0000"	""	""	""	""	""	""	
"11/17/2016 09:30'00"	"42691.3958333333"	"  14.5000"	"  78.0000"	""	""	""	""	""	""	
"11/17/2016 09:40'00"	"42691.4027777778"	"  14.9000"	"  76.0000"	""	""	""	""	""	""	
"11/17/2016 09:50'00"	"42691.4097222222"	"  15.4000"	"  74.0000"	""	""	""	""	""	""	
"11/17/2016 10:00'00"	"42691.4166666667"	"  15.9000"	"  74.0000"	""	""	""	""	""	""	
"11/17/2016 10:10'00"	"42691.4236111111"	"  16.4000"	"  70.0000"	""	""	""	""	""	""	
"11/17/2016 10:20'00"	"42691.4305555556"	"  17.0000"	"  67.0000"	""	""	""	""	""	""	
"11/17/2016 10:30'00"	"42691.4375000000"	"  17.5000"	"  64.0000"	""	""	""	""	""	""	
"11/17/2016 10:40'00"	"42691.4444444444"	"  17.6000"	"  62.0000"	""	""	""	""	""	""	
"11/17/2016 10:50'00"	"42691.4513888889"	"  17.6000"	"  62.0000"	""	""	""	""	""	""	
"11/17/2016 11:00'00"	"42691.4583333333"	"  18.3000"	"  59.0000"	""	""	""	""	""	""	
"11/17/2016 11:10'00"	"42691.4652777778"	"  18.8000"	"  57.0000"	""	""	""	""	""	""	
"11/17/2016 11:20'00"	"42691.4722222222"	"  19.1000"	"  54.0000"	""	""	""	""	""	""	
"11/17/2016 11:30'00"	"42691.4791666667"	"  19.5000"	"  53.0000"	""	""	""	""	""	""	
"11/17/2016 11:40'00"	"42691.4861111111"	"  19.6000"	"  52.0000"	""	""	""	""	""	""	
"11/17/2016 11:50'00"	"42691.4930555556"	"  19.8000"	"  53.0000"	""	""	""	""	""	""	
"11/17/2016 12:00'00"	"42691.5000000000"	"  19.8000"	"  51.0000"	""	""	""	""	""	""	
"11/17/2016 12:10'00"	"42691.5069444444"	"  19.8000"	"  52.0000"	""	""	""	""	""	""	
"11/17/2016 12:20'00"	"42691.5138888889"	"  20.2000"	"  53.0000"	""	""	""	""	""	""	
"11/17/2016 12:30'00"	"42691.5208333333"	"  20.6000"	"  51.0000"	""	""	""	""	""	""	
"11/17/2016 12:40'00"	"42691.5277777778"	"  20.5000"	"  50.0000"	""	""	""	""	""	""	
"11/17/2016 12:50'00"	"42691.5347222222"	"  20.0000"	"  53.0000"	""	""	""	""	""	""	
"11/17/2016 13:00'00"	"42691.5416666667"	"  20.2000"	"  53.0000"	""	""	""	""	""	""	
"11/17/2016 13:10'00"	"42691.5486111111"	"  20.2000"	"  53.0000"	""	""	""	""	""	""	
"11/17/2016 13:20'00"	"42691.5555555556"	"  20.3000"	"  52.0000"	""	""	""	""	""	""	
"11/17/2016 13:30'00"	"42691.5625000000"	"  20.2000"	"  51.0000"	""	""	""	""	""	""	
"11/17/2016 13:40'00"	"42691.5694444444"	"  20.0000"	"  57.0000"	""	""	""	""	""	""	
"11/17/2016 13:50'00"	"42691.5763888889"	"  19.6000"	"  60.0000"	""	""	""	""	""	""	
"11/17/2016 14:00'00"	"42691.5833333333"	"  18.6000"	"  61.0000"	""	""	""	""	""	""	
"11/17/2016 14:10'00"	"42691.5902777778"	"  18.3000"	"  63.0000"	""	""	""	""	""	""	
"11/17/2016 14:20'00"	"42691.5972222222"	"  18.3000"	"  64.0000"	""	""	""	""	""	""	
"11/17/2016 14:30'00"	"42691.6041666667"	"  18.3000"	"  63.0000"	""	""	""	""	""	""	
"11/17/2016 14:40'00"	"42691.6111111111"	"  17.7000"	"  67.0000"	""	""	""	""	""	""	
"11/17/2016 14:50'00"	"42691.6180555556"	"  17.1000"	"  68.0000"	""	""	""	""	""	""	
"11/17/2016 15:00'00"	"42691.6250000000"	"  16.4000"	"  75.0000"	""	""	""	""	""	""	
"11/17/2016 15:10'00"	"42691.6319444444"	"  16.1000"	"  78.0000"	""	""	""	""	""	""	
"11/17/2016 15:20'00"	"42691.6388888889"	"  15.9000"	"  77.0000"	""	""	""	""	""	""	
"11/17/2016 15:30'00"	"42691.6458333333"	"  16.0000"	"  76.0000"	""	""	""	""	""	""	
"11/17/2016 15:40'00"	"42691.6527777778"	"  16.0000"	"  78.0000"	""	""	""	""	""	""	
"11/17/2016 15:50'00"	"42691.6597222222"	"  15.8000"	"  79.0000"	""	""	""	""	""	""	
"11/17/2016 16:00'00"	"42691.6666666667"	"  15.5000"	"  81.0000"	""	""	""	""	""	""	
"11/17/2016 16:10'00"	"42691.6736111111"	"  15.1000"	"  81.0000"	""	""	""	""	""	""	
"11/17/2016 16:20'00"	"42691.6805555556"	"  14.7000"	"  82.0000"	""	""	""	""	""	""	
"11/17/2016 16:30'00"	"42691.6875000000"	"  14.3000"	"  86.0000"	""	""	""	""	""	""	
"11/17/2016 16:40'00"	"42691.6944444444"	"  14.1000"	"  87.0000"	""	""	""	""	""	""	
"11/17/2016 16:50'00"	"42691.7013888889"	"  13.7000"	"  89.0000"	""	""	""	""	""	""	
"11/17/2016 17:00'00"	"42691.7083333333"	"  13.4000"	"  90.0000"	""	""	""	""	""	""	
"11/17/2016 17:10'00"	"42691.7152777778"	"  13.1000"	"  91.0000"	""	""	""	""	""	""	
