< Measurement Data Text Output >,,,,,,,,,
,,,,,,,,,
Date/Time,@date(),ch.1,ch.2,ch.3,ch.4,ch.5,ch.6,ch.7,ch.8
,,°C,°C,,,,,,
05/14/2020 01:20'00,43965.05556,13.7,17.8,,,,,,
05/14/2020 01:40'00,43965.06944,13.7,17.6,,,,,,
05/14/2020 02:00'00,43965.08333,13.4,17.6,,,,,,
05/14/2020 02:20'00,43965.09722,12.7,17.5,,,,,,
05/14/2020 02:40'00,43965.11111,12.1,17.2,,,,,,
05/14/2020 03:00'00,43965.125,11.4,17.1,,,,,,
05/14/2020 03:20'00,43965.13889,11.4,17,,,,,,
05/14/2020 03:40'00,43965.15278,11.7,16.9,,,,,,
05/14/2020 04:00'00,43965.16667,11.8,16.8,,,,,,
05/14/2020 04:20'00,43965.18056,11.9,16.8,,,,,,
05/14/2020 04:40'00,43965.19444,11.3,16.7,,,,,,
05/14/2020 05:00'00,43965.20833,11,16.5,,,,,,
05/14/2020 05:20'00,43965.22222,11.3,16.5,,,,,,
05/14/2020 05:40'00,43965.23611,12.8,16.5,,,,,,
05/14/2020 06:00'00,43965.25,17,16.6,,,,,,
05/14/2020 06:20'00,43965.26389,20.7,17,,,,,,
05/14/2020 06:40'00,43965.27778,23.4,17.4,,,,,,
05/14/2020 07:00'00,43965.29167,23.3,17.8,,,,,,
05/14/2020 07:20'00,43965.30556,22,18.2,,,,,,
05/14/2020 07:40'00,43965.31944,25.8,18.3,,,,,,
05/14/2020 08:00'00,43965.33333,27.7,18.9,,,,,,
05/14/2020 08:20'00,43965.34722,23.9,19.1,,,,,,
05/14/2020 08:40'00,43965.36111,24.9,19.3,,,,,,
05/14/2020 09:00'00,43965.375,23.9,19.5,,,,,,
05/14/2020 09:20'00,43965.38889,23.9,19.6,,,,,,
05/14/2020 09:40'00,43965.40278,26.8,19.9,,,,,,
05/14/2020 10:00'00,43965.41667,27.2,20.2,,,,,,
05/14/2020 10:20'00,43965.43056,28.4,20.5,,,,,,
05/14/2020 10:40'00,43965.44444,27.3,20.7,,,,,,
05/14/2020 11:00'00,43965.45833,26.7,21,,,,,,
05/14/2020 11:20'00,43965.47222,26.6,21.2,,,,,,
05/14/2020 11:40'00,43965.48611,27,21.5,,,,,,
05/14/2020 12:00'00,43965.5,26.4,21.8,,,,,,
05/14/2020 12:20'00,43965.51389,27.3,22.1,,,,,,
05/14/2020 12:40'00,43965.52778,28.7,22.2,,,,,,
05/14/2020 13:00'00,43965.54167,27.7,22,,,,,,
05/14/2020 13:20'00,43965.55556,26.9,22,,,,,,
