,date,disease,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
170,2017-01-16,0,16.527083333333326,16.541666666666668,16.068055555555556,89.8263888888889,12.8,15.6,12.5,42.0,26.2,18.2,28.9,99.0
171,2017-01-17,0,17.231944444444448,17.09583333333333,16.926388888888894,87.77083333333331,12.7,15.5,12.5,41.0,27.7,19.5,28.0,99.0
172,2017-01-18,0,17.75138888888889,17.59305555555556,17.452083333333338,88.46527777777777,12.8,15.9,12.5,47.0,28.6,20.3,30.2,99.0
173,2017-01-19,0,16.708333333333332,17.473611111111115,16.277777777777775,96.42361111111113,13.3,16.4,13.2,73.0,26.8,19.8,26.2,99.0
174,2017-01-20,0,16.038194444444443,17.001388888888897,15.583333333333336,96.59722222222223,13.0,16.1,12.8,69.0,28.6,18.8,29.2,99.0
175,2017-01-21,1,17.674305555555566,17.618055555555557,17.35069444444444,88.85416666666669,13.0,15.9,12.9,46.0,27.4,20.5,28.9,99.0
176,2017-01-22,1,16.612500000000004,17.395833333333325,16.290972222222226,93.1875,12.9,16.1,12.8,52.0,29.9,19.8,29.4,99.0
177,2017-01-23,1,16.74097222222221,17.240277777777774,16.130555555555553,92.79861111111113,12.9,16.0,12.9,59.0,27.0,19.9,26.0,99.0
178,2017-01-24,1,17.26597222222223,17.225694444444436,16.835416666666664,88.5486111111111,12.6,15.8,12.5,47.0,29.9,20.0,29.2,99.0
179,2017-01-25,1,17.818055555555556,17.65,17.40555555555555,88.22222222222223,12.7,15.8,12.6,40.0,30.4,20.6,30.5,99.0
180,2017-01-26,1,17.756250000000012,17.77361111111111,17.257638888888884,89.41666666666669,12.7,16.0,12.6,45.0,30.1,20.7,30.2,99.0
181,2017-01-27,1,17.50347222222222,17.835416666666667,17.152083333333348,93.9375,12.7,16.1,12.9,54.0,28.4,20.1,29.0,99.0
182,2017-01-28,1,18.481250000000006,17.950694444444448,18.088888888888885,88.8125,13.0,16.3,13.1,42.0,29.8,20.7,30.1,99.0
183,2017-01-29,1,17.694444444444454,18.04930555555556,17.447222222222212,93.65277777777777,12.7,16.4,12.7,61.0,29.3,20.6,28.8,99.0
184,2017-01-30,1,15.992361111111114,17.338194444444458,15.775000000000004,97.13194444444444,13.2,16.6,13.4,70.0,26.7,19.3,26.5,99.0
185,2017-01-31,1,17.991666666666656,17.756250000000012,17.45277777777777,90.70833333333331,12.8,16.1,12.8,47.0,29.8,20.7,28.6,99.0
186,2017-02-01,1,17.10138888888888,17.61388888888889,16.88263888888888,91.54861111111113,12.5,16.2,12.8,52.0,27.2,19.7,30.1,99.0
187,2017-02-02,1,17.61180555555556,17.85069444444445,17.406249999999982,88.72222222222223,12.7,16.2,12.6,43.0,29.4,20.5,31.5,99.0
