T20_mean_x,H_mean_x,T20_min_x,H_min_x,T20_max_x,T60_max_x,H_max_x,housa_x,H_mean_y,T20_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
29.07777778,82.54097222,24.8,53.3,33.5,37.5,97.4,4.033488043635418,84.70625,25.6,69.5,35.7,29.6,34.2,96.2,3.5823744356629996,84.76180556,26.4,67.2,38.5,30.8,36.1,98.7,3.717854109858141,27.0
30.04166667,81.96388889,26.4,42.6,37.2,40.8,98.9,4.439312514710322,82.54097222,24.8,53.3,33.5,27.9,37.5,97.4,4.033488043635418,84.70625,25.6,69.5,35.7,29.6,34.2,96.2,3.5823744356629996,28.0
29.24375,87.34375,26.3,63.5,36.1,36.3,99.6,2.9371887294857317,81.96388889,26.4,42.6,37.2,31.7,40.8,98.9,4.439312514710322,82.54097222,24.8,53.3,33.5,27.9,37.5,97.4,4.033488043635418,29.0
30.11388889,83.52986111,25.9,45.8,37.1,41.2,100.0,4.088499430175128,87.34375,26.3,63.5,36.1,30.3,36.3,99.6,2.9371887294857317,81.96388889,26.4,42.6,37.2,31.7,40.8,98.9,4.439312514710322,30.0
30.00833333,83.47291667,26.4,49.7,37.7,41.0,98.9,4.084144401661167,83.52986111,25.9,45.8,37.1,32.1,41.2,100.0,4.088499430175128,87.34375,26.3,63.5,36.1,30.3,36.3,99.6,2.9371887294857317,31.0
27.04444444,91.73611111,25.0,62.0,36.3,36.9,99.6,1.7431338130322955,83.47291667,26.4,49.7,37.7,32.3,41.0,98.9,4.084144401661167,83.52986111,25.9,45.8,37.1,32.1,41.2,100.0,4.088499430175128,32.0
28.08888889,87.96527778,25.4,63.5,34.3,35.4,100.0,2.642438020117082,91.73611111,25.0,62.0,36.3,30.1,36.9,99.6,1.7431338130322955,83.47291667,26.4,49.7,37.7,32.3,41.0,98.9,4.084144401661167,33.0
27.21458333,59.975,22.5,29.4,36.1,35.5,83.6,8.378293803277506,87.96527778,25.4,63.5,34.3,29.8,35.4,100.0,2.642438020117082,91.73611111,25.0,62.0,36.3,30.1,36.9,99.6,1.7431338130322955,34.0
25.54791667,66.15416667,19.6,40.6,34.8,35.1,86.4,6.640387029073574,59.975,22.5,29.4,36.1,27.1,35.5,83.6,8.378293803277506,87.96527778,25.4,63.5,34.3,29.8,35.4,100.0,2.642438020117082,35.0
25.37291667,70.36527778,19.3,39.6,35.2,35.0,91.2,5.768837793566827,66.15416667,19.6,40.6,34.8,27.8,35.1,86.4,6.640387029073574,59.975,22.5,29.4,36.1,27.1,35.5,83.6,8.378293803277506,36.0
26.24583333,81.13888889,20.5,59.2,32.4,32.4,100.0,3.7676617713117952,70.36527778,19.3,39.6,35.2,27.8,35.0,91.2,5.768837793566827,66.15416667,19.6,40.6,34.8,27.8,35.1,86.4,6.640387029073574,37.0
