date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_min_x,ST_max_x,T60_max_x
2017-12-29,1,16.59357798165138,15.736697247706413,16.150458715596333,14.3,18.3,27.3
2017-12-30,1,15.843119266055044,15.92293577981652,15.666972477064213,14.7,18.0,25.4
2017-12-31,1,16.938532110091742,16.210091743119268,16.592660550458714,14.8,18.4,27.2
2018-01-01,1,12.257798165137615,15.130275229357805,12.510091743119268,14.6,15.8,17.9
2018-01-02,1,16.80091743119266,15.681651376146796,16.438532110091742,14.4,18.0,26.7
2018-01-03,1,16.39816513761468,15.810091743119257,16.044954128440367,14.6,17.6,27.0
2018-01-04,1,16.395412844036702,16.070642201834865,16.08623853211009,14.9,18.0,26.5
2018-01-05,1,17.045871559633024,16.08715596330276,16.768807339449538,14.7,18.5,30.5
2018-01-06,1,14.490825688073395,15.611926605504582,14.460550458715597,14.6,16.7,24.3
2018-01-07,1,15.811926605504588,15.582568807339456,15.423853211009176,14.5,17.4,26.9
2018-01-08,1,16.530275229357787,15.844036697247713,16.28532110091743,14.6,18.0,26.4
2018-01-09,1,12.478899082568805,15.20917431192662,12.591743119266058,14.8,15.7,15.8
2018-01-10,1,15.55963302752294,15.36238532110092,15.531192660550461,14.5,17.2,24.0
2018-01-11,1,16.475229357798163,15.581651376146779,16.17064220183486,14.4,17.6,25.7
2018-01-12,1,15.829357798165136,15.661467889908257,15.57339449541285,14.5,17.3,23.9
2018-01-13,1,16.111009174311928,15.216513761467896,15.34220183486238,14.1,16.9,24.8
2018-01-14,1,16.341284403669725,15.446788990825686,15.605504587155965,14.3,17.4,27.4
2018-01-15,1,17.164220183486236,15.866972477064225,16.340366972477067,14.6,18.1,28.6
2018-01-16,1,16.741284403669727,15.849541284403667,16.267889908256873,14.8,17.7,24.1
2018-01-17,1,17.05688073394495,15.723853211009171,16.554128440366974,14.8,17.4,24.4
2018-01-18,1,13.842201834862385,15.557798165137616,14.036697247706414,15.2,16.0,17.1
2018-01-19,1,17.656880733944952,16.130275229357807,17.303669724770643,15.0,18.1,25.7
2018-01-20,1,17.977981651376147,16.613761467889898,17.633944954128445,15.3,18.6,28.4
2018-01-21,1,17.166972477064224,16.301834862385327,16.699999999999992,15.0,18.2,26.1
2018-01-22,1,17.195412844036696,16.460550458715588,16.822935779816518,15.3,18.2,24.5
2018-01-23,1,13.196330275229359,15.761467889908245,13.299082568807336,15.3,16.3,18.7
2018-01-24,1,15.710091743119273,15.492660550458725,15.394495412844035,14.5,17.2,26.5
2018-01-25,1,16.031192660550456,15.411009174311928,15.489908256880732,14.3,17.1,24.8
2018-01-26,1,15.662385321100915,15.530275229357807,15.055963302752286,14.6,17.0,24.0
2018-01-27,1,15.694495412844029,15.736697247706413,16.942201834862388,14.3,18.6,43.2
2018-01-28,1,16.91376146788991,16.164220183486243,29.792660550458702,14.0,19.9,38.3
2018-01-29,1,13.020183486238535,15.167889908256875,13.003669724770644,14.3,16.4,23.5
2018-01-30,1,15.940366972477054,15.238532110091743,15.81376146788991,13.7,18.0,25.2
2018-01-31,1,17.1954128440367,16.219266055045853,17.310091743119273,14.3,19.8,30.5
2018-02-01,1,16.245871559633027,16.291743119266055,16.196330275229347,14.6,19.0,24.7
2018-02-02,1,13.176146788990831,15.425688073394491,13.326605504587159,14.7,16.5,20.0
2018-02-03,1,15.388990825688078,15.548623853210998,15.455045871559632,14.2,17.9,26.1
2018-02-04,1,17.258715596330276,16.28715596330275,17.16605504587157,14.6,19.7,26.9
2018-02-05,1,17.083486238532117,16.621100917431196,16.988073394495412,15.1,19.0,29.9
2018-02-06,1,16.890825688073395,16.186238532110096,16.708256880733945,13.3,18.8,25.5
2018-02-07,1,17.70366972477064,16.66422018348624,17.70733944954129,14.7,20.1,28.4
2018-02-08,1,17.717431192660552,16.87339449541285,17.798165137614678,15.1,19.5,32.1
2018-02-09,1,18.555045871559628,16.807339449541285,18.09357798165137,15.0,19.4,29.8
2018-02-10,1,18.468807339449548,17.162385321100913,18.388990825688072,15.1,20.2,34.9
2018-02-11,1,15.808256880733945,16.835779816513764,16.207339449541287,15.4,18.8,25.2
2018-02-12,1,18.700000000000006,17.288990825688085,18.47889908256881,15.5,20.5,28.5
2018-03-24,1,21.84770642201834,17.671559633027528,21.577981651376152,15.8,20.5,37.3
2018-03-25,1,21.660550458715587,17.942201834862388,21.179816513761466,16.2,21.6,36.1
2018-03-26,1,19.6091743119266,17.65963302752294,19.85045871559633,12.8,23.2,33.9
2018-03-27,1,19.22477064220184,16.213761467889906,19.114678899082566,11.8,20.3,32.3
2018-03-28,1,20.700917431192657,17.872477064220174,20.55321100917431,14.8,21.1,35.7
2018-03-29,1,21.389908256880734,17.977981651376147,20.938532110091753,15.3,21.0,33.5
2018-03-30,1,21.993577981651374,18.633027522935773,21.834862385321106,15.4,22.1,37.2
2018-03-31,1,23.34770642201835,19.19908256880733,22.915596330275235,16.4,22.0,36.4
2018-04-01,1,21.202752293577976,18.288990825688074,21.022018348623842,15.6,21.3,36.0
