date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_min_x,T20_max_x,ST_max_x,T60_max_x,T20_mean_y,ST_mean_y,T60_mean_y,T20_max_y,ST_max_y,T60_max_y,T20_mean_z,ST_mean_z,T60_mean_z,ST_max_z,T60_max_z
2016/10/20,1,22.62621359,21.60485437,22.12038835,19.8,31.8,23.9,29.1,22.67777778,21.19722222,21.80208333,37.1,24,29.9,19.68125,20.13888889,19.68125,20.8,22.2
2016/10/21,1,23.79902913,22.05145631,23.00291262,20.4,33.8,24.2,29.5,22.16597222,21.69375,21.89097222,31.8,23.9,29.1,22.67777778,21.19722222,21.80208333,24,29.9
2016/10/22,1,19.61262136,19.97378641,19.36990291,18.5,27.7,21.6,25.1,22.29375,21.78194444,21.85,33.8,24.2,29.5,22.16597222,21.69375,21.89097222,23.9,29.1
2016/10/23,1,19.92912621,19.80873786,19.6,18.5,27.1,21.1,24.6,18.93194444,19.925,18.90347222,27.7,21.6,25.1,22.29375,21.78194444,21.85,24.2,29.5
2016/10/24,1,20.66116505,20.20776699,20.24951456,19.1,26.5,21.5,24.7,19.47291667,19.88263889,19.34027778,27.1,21.1,24.6,18.93194444,19.925,18.90347222,21.6,25.1
2016/10/25,1,18.36504854,18.79805825,18.08349515,17.8,26,19.9,23.5,19.41805556,19.92708333,19.28125,26.5,21.5,24.7,19.47291667,19.88263889,19.34027778,21.1,24.6
2016/10/26,1,15.46601942,16.92330097,15.45631068,16,20.5,18,19,16.76944444,18.35833333,16.76666667,26,19.9,23.5,19.41805556,19.92708333,19.28125,21.5,24.7
2016/10/27,1,21.69708738,19.43300971,20.74271845,17.6,31.6,22,27.2,15.75902778,17.15972222,15.82916667,20.5,18,19,16.76944444,18.35833333,16.76666667,19.9,23.5
2016/10/28,1,21.5961165,21.07961165,20.97475728,18.4,30.9,26,28.1,21.25138889,19.74930556,20.62777778,31.6,22,27.2,15.75902778,17.15972222,15.82916667,18,19
2016/10/29,1,16.85825243,17.57475728,16.95242718,15.8,19.5,18.8,18.9,19.44097222,19.78263889,19.20833333,30.9,26,28.1,21.25138889,19.74930556,20.62777778,22,27.2
2016/10/30,1,21.85436893,20.02621359,21.01941748,17.9,30.7,23.1,27.7,17.29930556,17.91180556,17.41388889,19.5,18.9,18.9,19.44097222,19.78263889,19.20833333,26,28.1
2016/10/31,1,17.71456311,17.86699029,17.05339806,16.7,26.8,19.6,23,19.84375,19.52847222,19.3875,30.7,23.1,27.7,17.29930556,17.91180556,17.41388889,18.9,18.9
2016/11/1,1,17.12718447,16.79126214,16.28932039,15.1,26.3,19,22.6,16.15069444,17.49305556,15.82986111,26.8,19.6,23,19.84375,19.52847222,19.3875,23.1,27.7
2016/11/2,1,18.65242718,17.86699029,17.64368932,16.5,30.3,20.2,25.5,16.78055556,17.04027778,16.26527778,26.3,19,22.6,16.15069444,17.49305556,15.82986111,19.6,23
2016/11/3,1,15.61067961,16.29417476,15.13980583,15.1,23.7,17.9,20.2,16.98402778,17.52222222,16.42708333,30.3,20.2,25.5,16.78055556,17.04027778,16.26527778,19,22.6
2016/11/4,1,17.76893204,17.04271845,16.8776699,14.9,29.9,19.7,25.6,15.40208333,16.44166667,15.15763889,23.7,17.9,20.2,16.98402778,17.52222222,16.42708333,20.2,25.5
2016/11/5,1,16.35145631,15.59223301,14.96990291,13.5,27.3,18.1,22.2,15.86597222,16.58541667,15.36875,29.9,19.7,25.6,15.40208333,16.44166667,15.15763889,17.9,20.2
2016/11/6,1,15.83980583,15.13009709,14.79805825,12.7,26.9,18,22.8,14.60069444,15.40486111,13.77777778,27.3,18.1,22.2,15.86597222,16.58541667,15.36875,19.7,25.6
2016/11/7,1,17.60194175,15.9223301,16.65048544,13.8,28.2,19.1,25.1,14.43819444,15.11527778,13.82638889,26.9,18,22.8,14.60069444,15.40486111,13.77777778,18.1,22.2
2016/11/8,1,16.2592233,15.63980583,15.01359223,13.7,24.4,17.4,20.1,16.19027778,15.91180556,15.63958333,28.2,19.1,25.1,14.43819444,15.11527778,13.82638889,18,22.8
2016/11/9,1,16.19902913,16.10291262,15.79805825,14.8,22.3,17.5,20.2,15.59305556,15.75069444,14.79513889,24.4,17.4,20.1,16.19027778,15.91180556,15.63958333,19.1,25.1
2016/11/10,1,15.71941748,15.8961165,14.96504854,13.8,26.5,18.3,22.8,15.90763889,16.23541667,15.66527778,22.3,17.5,20.2,15.59305556,15.75069444,14.79513889,17.4,20.1
2016/11/19,1,16.80582524,15.53786408,15.55048544,13.8,27.1,17.8,23,14.13194444,15.1625,13.74097222,24.7,17.7,22,14.97986111,15.78611111,14.19930556,18,21.4
2016/11/20,1,16.3368932,16.05242718,15.97184466,15.4,22.8,17.5,20.6,15.86527778,15.57777778,15.00972222,27.1,17.8,23,14.13194444,15.1625,13.74097222,17.7,22
2016/11/21,1,18.81941748,17.09514563,17.92815534,15.4,27.3,19.2,23.8,16.07708333,16.18125,15.83402778,22.8,17.5,20.6,15.86527778,15.57777778,15.00972222,17.8,23
2016/11/22,1,16.68058252,16.85048544,16.36019417,15.9,21.8,17.9,20.2,18.00902778,17.18194444,17.43194444,27.3,19.2,23.8,16.07708333,16.18125,15.83402778,17.5,20.6
2016/11/23,1,19.1961165,17.76019417,18.52427184,16.5,26,19.5,23.6,16.58888889,16.93541667,16.37847222,21.8,17.9,20.2,18.00902778,17.18194444,17.43194444,19.2,23.8
2016/11/24,1,16.19029126,16.62718447,15.84466019,15.8,21.9,17.7,19.9,17.82916667,17.57638889,17.43055556,26,19.5,23.6,16.58888889,16.93541667,16.37847222,17.9,20.2
2016/11/25,1,14.43980583,15.38543689,14.06213592,14.4,24.6,17.4,21.9,15.31597222,16.42569444,15.12916667,21.9,17.7,19.9,17.82916667,17.57638889,17.43055556,19.5,23.6
2016/11/26,1,12.75145631,13.53009709,11.63592233,11.8,22,15.6,18.2,12.95763889,15.00138889,12.66805556,24.6,17.4,21.9,15.31597222,16.42569444,15.12916667,17.7,19.9
2016/11/27,1,14.99126214,14.46601942,14.25242718,13.1,23.7,16.4,20.7,12.375,13.64166667,11.64305556,22,15.6,18.2,12.95763889,15.00138889,12.66805556,17.4,21.9
2016/11/28,1,17.04174757,15.98058252,16.38543689,15.2,25,17.3,21.7,14.89513889,14.67777778,14.34861111,23.7,16.4,20.7,12.375,13.64166667,11.64305556,15.6,18.2
2016/11/29,1,16.99126214,16.42330097,16.52815534,15.9,24,17.6,21.7,16.49305556,15.99166667,16.02638889,25,17.3,21.7,14.89513889,14.67777778,14.34861111,16.4,20.7
2016/11/30,1,16.84951456,16.10485437,16.22038835,15.2,23.9,17.9,21.9,16.07777778,16.21875,15.82569444,24,17.6,21.7,16.49305556,15.99166667,16.02638889,17.3,21.7
2016/12/1,1,16.05339806,15.81747573,15.33398058,15.2,21.2,16.6,19.2,16.12430556,16.03541667,15.72916667,23.9,17.9,21.9,16.07777778,16.21875,15.82569444,17.6,21.7
2016/12/2,1,16.55728155,15.87669903,15.87961165,15.2,23.3,16.8,20.2,15.34027778,15.71944444,14.8625,21.2,16.6,19.2,16.12430556,16.03541667,15.72916667,17.9,21.9
