T60_mean_x,H_mean_x,T20_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
28.049999999999986,79.1736111111111,23.7,24.8,61.0,37.2,29.7,33.9,93.0
27.038888888888888,85.54166666666667,24.1,24.9,67.0,34.3,28.5,30.9,92.0
27.92777777777779,88.09027777777777,23.8,24.6,64.0,37.4,28.7,35.1,100.0
28.654166666666665,79.8888888888889,24.6,25.6,58.0,39.8,30.5,34.9,94.0
28.749305555555573,90.61805555555556,24.7,25.7,78.0,38.3,29.6,35.8,100.0
29.4625,78.94444444444444,24.1,25.0,56.0,42.2,31.3,36.0,96.0
29.42986111111113,83.64583333333333,23.7,24.6,62.0,38.0,30.8,38.2,100.0
29.04791666666668,80.84722222222223,24.5,25.5,58.0,41.4,31.1,35.5,93.0
28.78194444444444,81.8263888888889,24.4,25.2,64.0,42.3,31.0,36.1,94.0
29.49791666666665,80.74305555555556,24.0,24.9,51.0,39.8,30.6,35.8,100.0
30.506250000000005,78.41666666666667,25.9,26.5,56.0,39.9,32.0,36.5,100.0
30.17916666666666,80.4513888888889,25.3,26.1,57.0,38.4,31.8,36.0,100.0
28.90347222222221,68.24305555555556,23.5,24.2,40.0,38.5,30.7,35.7,95.0
27.12361111111111,76.69444444444444,21.3,22.2,58.0,38.2,29.6,33.0,100.0
27.366666666666685,78.69444444444444,22.8,23.6,53.0,41.5,29.6,35.0,92.0
29.41458333333334,86.77083333333331,24.5,25.4,58.0,38.3,30.5,35.4,100.0
30.77013888888888,80.05555555555556,24.9,25.7,50.0,41.9,31.3,36.8,100.0
27.76388888888891,79.625,23.5,23.9,53.0,40.7,30.0,34.4,100.0
26.53541666666667,61.6875,19.6,20.7,43.0,40.4,29.0,33.5,81.0
25.992361111111112,73.5138888888889,20.7,21.4,46.0,36.4,28.4,32.8,100.0
24.47569444444443,71.27777777777777,18.1,19.0,46.0,37.1,27.5,31.8,100.0
24.417361111111113,75.35416666666667,19.7,20.4,60.0,32.0,26.4,29.0,92.0
25.442361111111122,83.27083333333333,19.8,20.6,57.0,36.5,27.8,31.9,100.0
25.77499999999999,88.48611111111109,22.3,23.0,66.0,32.5,26.9,29.9,100.0
27.02708333333333,85.5625,22.1,23.1,66.0,37.8,28.7,33.3,98.0
27.44652777777778,76.94444444444444,23.4,23.9,39.0,36.8,28.8,34.5,100.0
26.57500000000001,79.8611111111111,21.2,22.0,52.0,37.3,28.7,33.6,100.0
26.183333333333348,78.88194444444444,21.8,22.7,53.0,38.0,29.2,33.3,94.0
26.44375000000001,85.33333333333333,22.2,22.7,64.0,35.3,27.4,33.7,100.0
25.874305555555548,89.89583333333331,22.7,23.7,78.0,29.9,26.8,28.8,100.0
26.50694444444445,76.4861111111111,20.7,21.6,56.0,36.9,28.2,33.7,100.0
25.31458333333333,72.13194444444444,19.0,19.7,49.0,35.5,26.8,33.1,100.0
23.125694444444452,79.2986111111111,17.3,18.0,62.0,33.9,24.6,35.8,100.0
12.542361111111116,95.67361111111113,18.8,5.2,81.0,21.1,22.1,21.3,100.0
18.491666666666674,95.48611111111113,18.4,7.6,79.0,32.4,25.3,29.5,100.0
26.04861111111111,83.9513888888889,18.9,19.6,52.0,36.1,27.7,34.8,100.0
24.00555555555556,86.77777777777777,16.6,17.1,58.0,36.1,27.2,32.9,100.0
23.12361111111109,86.79166666666669,19.7,19.4,67.0,32.5,25.5,29.5,100.0
23.77569444444445,72.78472222222223,18.5,18.9,46.0,36.0,27.0,31.9,100.0
20.82222222222223,92.3125,16.6,17.0,69.0,26.9,23.3,26.2,100.0
23.054166666666664,88.02777777777777,19.5,18.3,66.0,33.8,27.0,30.6,100.0
22.772222222222208,92.15277777777777,18.4,18.3,70.0,33.7,25.4,29.1,100.0
22.22625,89.0875,17.3,17.2,58.0,35.5,25.7,31.6,100.0
20.514583333333334,92.20138888888887,18.6,18.3,72.0,29.5,22.9,26.9,100.0
19.03472222222224,98.75694444444444,18.3,17.4,89.0,25.2,22.1,23.6,100.0
17.593750000000004,99.65972222222223,16.9,15.9,94.0,23.2,21.3,20.7,100.0
12.743750000000013,100.0,15.8,6.1,100.0,21.9,19.9,16.6,100.0
8.838194444444436,98.60416666666669,12.2,0.3,77.0,20.7,18.4,15.3,100.0
16.029166666666672,93.97916666666669,15.2,11.3,62.0,32.6,30.1,30.7,100.0
13.624305555555555,99.11111111111113,17.3,10.2,90.0,23.1,22.4,22.5,100.0
12.770138888888892,100.0,17.7,11.8,100.0,21.5,20.6,15.2,100.0
16.49583333333333,81.27777777777777,12.8,9.9,48.0,28.4,22.0,26.5,100.0
11.486111111111107,98.36805555555556,12.6,3.4,90.0,24.4,19.5,15.7,100.0
13.541666666666664,98.81944444444444,12.0,10.5,91.0,22.3,19.3,19.2,100.0
13.920138888888893,91.15972222222223,9.0,5.1,55.0,31.0,21.6,28.2,100.0
15.386111111111108,89.96527777777777,10.9,5.7,56.0,29.1,21.3,27.4,100.0
14.323611111111116,96.3125,14.7,9.8,81.0,20.6,18.8,19.5,100.0
10.33472222222222,100.0,15.2,9.3,100.0,21.6,19.3,12.0,100.0
14.74444444444444,81.1111111111111,9.4,9.4,44.0,25.7,19.6,24.9,100.0
12.689583333333333,89.95833333333331,8.2,1.8,52.0,27.7,20.3,26.7,100.0
13.48194444444445,91.47916666666669,9.3,5.1,55.0,28.4,20.9,28.2,100.0
13.251388888888895,90.1875,7.7,5.7,49.0,27.4,20.1,27.8,100.0
15.181944444444447,87.67361111111109,9.3,7.5,46.0,28.7,20.6,28.4,100.0
14.51944444444445,86.8125,10.2,8.6,53.0,27.4,20.6,25.8,100.0
14.329861111111116,84.1111111111111,8.6,8.7,50.0,29.5,19.6,26.0,100.0
13.661805555555556,93.5625,9.9,6.6,59.0,30.4,21.0,27.7,100.0
16.138194444444444,91.55555555555556,12.0,9.8,61.0,31.7,21.2,28.7,100.0
12.637500000000005,100.0,14.6,11.2,100.0,21.7,19.4,15.9,100.0
15.201388888888893,79.43055555555556,9.8,9.9,43.0,25.1,19.9,24.3,100.0
12.364583333333329,93.32638888888887,8.8,3.2,62.0,26.7,19.2,23.8,100.0
12.247222222222225,89.29166666666669,9.9,3.9,48.0,24.6,19.4,24.6,100.0
11.794444444444444,88.99305555555556,7.3,6.6,62.0,22.5,16.9,20.1,100.0
9.409027777777775,97.79166666666669,5.4,3.5,72.0,27.5,18.9,24.2,100.0
10.313888888888883,100.0,10.0,7.8,100.0,19.6,16.7,15.9,100.0
10.131944444444443,96.79166666666669,9.0,3.1,65.0,27.1,18.7,23.7,100.0
9.892361111111107,88.44444444444444,6.6,5.3,53.0,22.2,16.2,20.8,100.0
9.602777777777773,92.1875,5.8,2.2,51.0,25.1,17.5,24.8,100.0
7.772222222222222,100.0,8.4,6.7,100.0,13.8,13.7,10.4,100.0
9.851388888888893,91.77083333333331,5.7,4.6,67.0,23.9,17.8,20.1,100.0
9.156249999999998,96.19444444444444,5.2,4.9,75.0,23.5,17.6,19.9,100.0
9.844444444444449,90.27083333333331,4.7,4.0,58.0,24.8,18.5,20.7,100.0
10.328472222222226,97.38194444444444,6.8,5.6,70.0,23.1,17.0,19.1,100.0
10.259722222222218,97.99305555555556,9.6,2.2,71.0,25.6,17.4,20.0,100.0
11.494444444444444,93.29166666666669,6.6,5.4,67.0,27.8,17.4,23.7,100.0
9.084027777777775,97.68055555555556,5.3,4.0,70.0,26.2,16.4,21.4,100.0
10.50069444444444,97.02777777777777,5.8,4.6,77.0,26.2,16.1,22.8,100.0
10.31111111111111,98.92361111111113,8.8,5.4,81.0,27.3,17.4,20.0,100.0
12.113194444444456,95.3125,8.2,6.6,73.0,26.2,17.6,23.6,100.0
11.956250000000004,97.05555555555556,8.2,6.7,83.0,22.7,16.7,19.8,100.0
12.538194444444445,97.86805555555556,12.4,8.9,86.0,23.2,17.4,20.2,100.0
12.129166666666665,94.36111111111113,9.5,7.9,68.0,25.1,17.4,22.4,100.0
10.211111111111107,95.29166666666669,6.6,5.6,63.0,25.1,16.7,21.3,100.0
10.8125,94.125,6.0,4.9,71.0,26.2,16.9,22.9,100.0
3.743055555555552,100.0,5.3,0.5,100.0,19.5,14.2,9.7,100.0
6.568055555555558,100.0,7.3,0.9,100.0,22.7,15.3,15.0,100.0
10.95833333333333,97.69444444444444,5.3,4.1,77.0,27.9,15.8,23.4,100.0
10.254999999999997,100.0,12.8,1.7,100.0,25.2,16.5,13.1,100.0
14.696527777777787,69.55555555555556,10.1,10.0,36.0,24.1,18.0,25.4,84.0
15.398611111111116,68.7013888888889,10.0,10.0,33.0,27.5,18.5,28.3,85.0
15.959027777777779,70.1111111111111,10.4,10.5,35.0,27.0,19.0,29.7,86.0
15.028472222222213,69.3125,10.0,9.9,29.0,27.9,18.6,27.1,84.0
15.147916666666667,74.74305555555556,10.0,10.2,38.0,25.8,18.2,25.8,98.0
16.443055555555542,77.27777777777777,10.5,10.5,31.0,27.6,18.8,28.4,97.0
15.922222222222214,74.875,11.4,11.6,42.0,25.5,18.9,26.3,90.0
14.265972222222226,76.1875,10.6,10.7,36.0,26.8,18.3,28.8,89.0
12.913888888888884,77.375,10.6,10.7,46.0,23.2,16.7,22.5,89.0
15.133333333333338,70.27777777777777,10.4,10.5,38.0,27.0,18.3,27.3,83.0
14.807638888888896,73.375,10.4,10.6,41.0,26.1,18.0,25.4,89.0
15.422916666666673,75.66666666666667,10.2,10.4,39.0,27.7,18.4,27.2,90.0
12.32847222222222,86.25694444444444,10.0,10.2,70.0,17.2,15.8,17.9,93.0
15.45277777777778,76.58333333333333,10.8,10.8,39.0,27.2,18.0,26.7,94.0
15.204861111111107,75.02083333333333,10.7,10.8,38.0,25.1,17.6,27.0,90.0
15.074305555555561,76.06944444444444,10.8,10.9,35.0,25.8,18.0,26.5,93.0
15.647916666666653,72.78472222222223,10.5,10.7,32.0,28.5,18.5,30.5,87.0
13.723611111111104,84.7013888888889,10.7,10.8,55.0,25.0,16.7,24.3,99.0
14.622222222222225,79.27777777777777,10.6,10.6,39.0,25.2,17.4,26.9,99.0
15.333333333333336,73.71527777777777,10.5,10.5,38.0,27.6,18.0,26.4,90.0
12.516666666666666,91.79166666666669,10.8,10.8,85.0,15.7,15.7,15.8,98.0
14.646527777777786,83.43055555555556,10.6,10.9,38.0,25.0,17.2,24.0,99.0
15.247222222222225,73.9513888888889,10.4,10.5,34.0,27.5,17.6,25.7,90.0
14.614583333333336,75.39583333333333,10.1,10.3,41.0,25.9,17.3,23.9,91.0
14.466666666666665,71.20833333333333,10.2,10.1,44.0,27.3,16.9,24.8,83.0
14.765277777777774,72.75694444444444,10.1,10.5,40.0,28.4,17.4,27.4,87.0
15.175694444444444,76.21527777777777,10.3,10.5,43.0,29.5,18.1,28.6,95.0
15.35,74.10416666666667,10.3,10.9,38.0,25.4,17.7,24.1,90.0
15.661805555555556,77.18055555555556,10.3,10.5,46.0,25.1,17.4,24.4,90.0
13.959027777777774,92.11805555555556,11.8,12.2,89.0,17.5,16.0,17.1,96.0
16.51250000000001,82.40277777777777,11.5,11.9,39.0,26.2,18.1,25.7,98.0
16.522916666666667,76.52777777777777,10.9,11.3,38.0,28.6,18.6,28.4,96.0
15.890277777777774,72.40972222222223,10.1,10.5,35.0,27.4,18.2,26.1,87.0
15.921527777777786,76.4861111111111,11.0,11.3,44.0,25.9,18.2,24.5,94.0
12.92847222222222,89.27083333333331,10.9,11.1,76.0,19.0,16.3,18.7,96.0
14.580555555555556,82.86805555555556,10.6,10.6,43.0,27.4,17.2,26.5,97.0
14.58958333333333,75.84027777777777,10.5,10.5,51.0,26.6,17.1,24.8,87.0
14.324999999999998,75.34027777777777,10.3,10.4,53.0,26.3,17.0,24.0,89.0
