date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,H_min_x,ST_max_x,T60_max_x,housa_x,T20_mean_y,T60_mean_y,H_mean_y,H_min_y,ST_max_y,T60_max_y,housa_y,T20_mean_z,H_mean_z,H_min_z,T60_max_z,housa_z
2018-07-13,0,30.290972222222226,28.46180555555555,28.80486111111113,62.369444444444454,36.7,30.3,36.2,8.571313044894756,29.54444444444444,28.73611111111111,54.18263888888888,33.6,29.6,35.4,10.401388106306902,29.98472222222223,70.07986111111113,42.0,34.6,6.595736855520173
2018-07-14,0,31.84999999999999,28.75208333333333,29.479861111111113,55.12083333333332,35.8,30.9,36.1,10.561062538637023,30.290972222222226,28.80486111111113,62.369444444444454,36.7,30.3,36.2,8.571313044894756,29.54444444444444,54.18263888888888,33.6,35.4,10.401388106306902
2018-07-15,0,31.433333333333305,28.918055555555554,29.402777777777786,54.38194444444443,35.2,30.8,35.5,10.695135973458298,31.84999999999999,29.479861111111113,55.12083333333332,35.8,30.9,36.1,10.561062538637023,30.290972222222226,62.369444444444454,36.7,36.2,8.571313044894756
2018-07-16,0,32.125694444444434,29.27708333333332,30.35972222222223,48.02777777777776,33.8,31.2,36.1,12.75818378872474,31.433333333333305,29.402777777777786,54.38194444444443,35.2,30.8,35.5,10.695135973458298,31.84999999999999,55.12083333333332,35.8,36.1,10.561062538637023
2018-07-17,0,30.52083333333334,29.26250000000001,29.56111111111112,54.06388888888888,35.2,31.1,35.5,10.852171058537559,32.125694444444434,30.35972222222223,48.02777777777776,33.8,31.2,36.1,12.75818378872474,31.433333333333305,54.38194444444443,35.2,35.5,10.695135973458298
2018-07-18,0,30.693750000000005,29.475,30.164583333333344,46.546527777777754,33.7,31.1,35.7,12.999666376981645,30.52083333333334,29.56111111111112,54.06388888888888,35.2,31.1,35.5,10.852171058537559,32.125694444444434,48.02777777777776,33.8,36.1,12.75818378872474
2018-07-19,0,32.20347222222222,29.98333333333333,30.496527777777768,51.131944444444436,32.7,31.7,35.2,12.074986159206428,30.693750000000005,30.164583333333344,46.546527777777754,33.7,31.1,35.7,12.999666376981645,30.52083333333334,54.06388888888888,35.2,35.5,10.852171058537559
2018-07-20,0,30.990972222222233,29.83125,30.27916666666665,42.77361111111113,29.0,31.3,36.0,13.993875968552544,32.20347222222222,30.496527777777768,51.131944444444436,32.7,31.7,35.2,12.074986159206428,30.693750000000005,46.546527777777754,33.7,35.7,12.999666376981645
2018-07-21,0,30.13333333333333,29.26666666666666,28.677777777777766,51.83750000000001,30.6,30.3,34.1,10.902930282752127,30.990972222222233,30.27916666666665,42.77361111111113,29.0,31.3,36.0,13.993875968552544,32.20347222222222,51.131944444444436,32.7,35.2,12.074986159206428
2018-08-11,0,29.37361111111112,28.5,28.33055555555555,47.88055555555553,24.4,28.5,32.1,11.601660853452447,30.13333333333333,28.677777777777766,51.83750000000001,30.6,30.3,34.1,10.902930282752127,30.990972222222233,42.77361111111113,29.0,36.0,13.993875968552544
2018-08-12,0,30.58055555555555,30.090277777777768,30.6,83.47222222222223,50.0,33.1,39.4,4.104170039623955,29.37361111111112,28.33055555555555,47.88055555555553,24.4,28.5,32.1,11.601660853452447,30.13333333333333,51.83750000000001,30.6,34.1,10.902930282752127
2018-08-13,0,29.591666666666665,29.46041666666666,29.372222222222234,89.9375,65.0,31.5,35.2,2.35567675553356,30.58055555555555,30.6,83.47222222222223,50.0,33.1,39.4,4.104170039623955,29.37361111111112,47.88055555555553,24.4,32.1,11.601660853452447
2018-08-14,0,30.686805555555548,30.21249999999999,30.38194444444445,86.44444444444444,58.0,34.0,37.7,3.3311718737707103,29.591666666666665,29.372222222222234,89.9375,65.0,31.5,35.2,2.35567675553356,30.58055555555555,83.47222222222223,50.0,39.4,4.104170039623955
2018-08-15,0,30.491666666666656,30.20138888888889,30.285416666666656,85.22916666666667,59.0,32.9,37.3,3.61307298968224,30.686805555555548,30.38194444444445,86.44444444444444,58.0,34.0,37.7,3.3311718737707103,29.591666666666665,89.9375,65.0,35.2,2.35567675553356
2018-08-16,0,27.49166666666665,28.492361111111087,27.51319444444444,93.70833333333331,68.0,30.7,35.4,1.3458616441633249,30.491666666666656,30.285416666666656,85.22916666666667,59.0,32.9,37.3,3.61307298968224,30.686805555555548,86.44444444444444,58.0,37.7,3.3311718737707103
2018-08-17,0,28.27986111111112,28.42430555555555,28.12291666666667,90.25,67.0,30.5,33.7,2.1485378558398716,27.49166666666665,27.51319444444444,93.70833333333331,68.0,30.7,35.4,1.3458616441633249,30.491666666666656,85.22916666666667,59.0,37.3,3.61307298968224
2018-08-18,0,28.63194444444445,27.634027777777767,27.79375,66.13194444444444,36.0,30.8,35.5,7.344616847573827,28.27986111111112,28.12291666666667,90.25,67.0,30.5,33.7,2.1485378558398716,27.49166666666665,93.70833333333331,68.0,35.4,1.3458616441633249
2018-08-19,0,26.213888888888878,26.31319444444444,25.559722222222234,69.34027777777777,47.0,29.3,34.0,5.9579175237565885,28.63194444444445,27.79375,66.13194444444444,36.0,30.8,35.5,7.344616847573827,28.27986111111112,90.25,67.0,33.7,2.1485378558398716
2018-08-20,0,26.352777777777767,25.996527777777768,25.60763888888889,73.47222222222223,48.0,29.1,34.5,5.167219978135631,26.213888888888878,25.559722222222234,69.34027777777777,47.0,29.3,34.0,5.9579175237565885,28.63194444444445,66.13194444444444,36.0,35.5,7.344616847573827
2018-08-21,0,26.88333333333333,26.397916666666678,26.395138888888912,84.65972222222223,64.0,28.6,33.3,3.1064560559369285,26.352777777777767,25.60763888888889,73.47222222222223,48.0,29.1,34.5,5.167219978135631,26.213888888888878,69.34027777777777,47.0,34.0,5.9579175237565885
2018-08-22,0,30.89930555555557,28.9597222222222,29.888888888888875,86.67361111111109,64.0,31.6,37.7,3.1983186153873984,26.88333333333333,26.395138888888912,84.65972222222223,64.0,28.6,33.3,3.1064560559369285,26.352777777777767,73.47222222222223,48.0,34.5,5.167219978135631
2018-08-23,0,32.150694444444454,29.82083333333333,30.7,83.84027777777777,58.0,32.3,38.1,4.031999854674895,30.89930555555557,29.888888888888875,86.67361111111109,64.0,31.6,37.7,3.1983186153873984,26.88333333333333,84.65972222222223,64.0,33.3,3.1064560559369285
2018-08-24,0,30.334722222222208,29.42013888888889,29.5875,87.95833333333331,74.0,31.8,37.7,2.8483988514497467,32.150694444444454,30.7,83.84027777777777,58.0,32.3,38.1,4.031999854674895,30.89930555555557,86.67361111111109,64.0,37.7,3.1983186153873984
