date,disease,T20_mean_x,H_min_x,H_mean_y,H_max_y,H_max_z,H_mean_a,H_max_a,T20_mean_b,ST_min_b,H_max_b
2017-06-03,0,23.867889908256878,24.0,78.3888888888889,100.0,100.0,65.4861111111111,98.0,23.68194444444445,19.4,97.0
2017-06-04,0,23.61926605504588,27.0,59.71527777777778,100.0,100.0,78.7062937062937,100.0,25.12500000000001,20.3,98.0
2017-06-05,0,25.08807339449542,20.0,47.64583333333334,92.0,100.0,78.3888888888889,100.0,24.706250000000008,22.9,100.0
2017-06-06,0,24.006422018348626,24.0,44.875,82.0,92.0,59.71527777777778,100.0,24.65694444444444,22.2,100.0
2017-06-07,0,24.561467889908272,32.0,57.71527777777778,92.0,82.0,47.64583333333334,92.0,22.395833333333336,20.0,100.0
2017-06-08,0,22.272477064220187,48.0,68.46527777777777,100.0,92.0,44.875,82.0,22.52083333333333,18.6,92.0
2017-06-09,0,20.62844036697247,65.0,83.5,100.0,100.0,57.71527777777778,92.0,23.64236111111112,18.5,82.0
2017-06-10,0,25.506422018348626,39.0,88.54861111111109,100.0,100.0,68.46527777777777,100.0,22.88125,18.7,92.0
2017-06-11,0,27.413761467889923,30.0,71.40972222222223,100.0,100.0,83.5,100.0,23.44166666666668,20.1,100.0
2017-06-12,0,24.409174311926602,28.0,64.3263888888889,100.0,100.0,88.54861111111109,100.0,21.35763888888888,21.0,100.0
2017-06-13,0,25.64036697247706,19.0,55.25,75.0,100.0,71.40972222222223,100.0,20.53402777777777,20.3,100.0
2017-06-14,0,24.38623853211009,33.0,45.069444444444436,69.0,75.0,64.3263888888889,100.0,24.20138888888889,19.7,100.0
2017-06-15,0,25.0348623853211,29.0,66.20833333333333,100.0,69.0,55.25,75.0,26.428472222222233,19.7,100.0
2017-06-16,0,25.93211009174313,29.0,72.94444444444444,100.0,100.0,45.069444444444436,69.0,23.33125,20.4,75.0
2017-06-17,0,27.44770642201836,31.0,67.6388888888889,100.0,100.0,66.20833333333333,100.0,24.14583333333333,18.5,69.0
2017-06-18,0,26.261467889908253,37.0,63.25,100.0,100.0,72.94444444444444,100.0,23.19583333333333,19.2,100.0
2017-06-19,0,22.597247706422024,70.0,62.423611111111114,87.0,100.0,67.6388888888889,100.0,23.62638888888889,19.8,100.0
