date,disease,H_mean_x,H_min_x,T20_max_x,T60_max_x,housa_x,H_mean_y,H_min_y,T20_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,T60_min_z,H_min_z,T20_max_z,T60_max_z,H_max_z,housa_z,days
2018-08-11,0,85.24166667,64.6,35.1,32.4,3.361471584300186,87.27013889,69.9,39.7,34.7,97.0,2.9567487775019865,86.27986111,26.5,26.9,66.9,41.2,36.6,98.2,3.3540545529287638,27.0
2018-08-12,0,80.72430556,49.9,39.9,39.4,4.8112193220760195,85.24166667,64.6,35.1,32.4,98.8,3.361471584300186,87.27013889,25.5,26.0,69.9,39.7,34.7,97.0,2.9567487775019865,28.0
2018-08-13,0,85.86805556,62.4,37.6,37.0,3.34507994221341,80.72430556,49.9,39.9,39.4,97.2,4.8112193220760195,85.24166667,25.0,25.4,64.6,35.1,32.4,98.8,3.361471584300186,29.0
2018-08-14,0,82.46527778,57.1,40.9,39.0,4.385392203977928,85.86805556,62.4,37.6,37.0,97.2,3.34507994221341,80.72430556,26.5,26.4,49.9,39.9,39.4,97.2,4.8112193220760195,30.0
2018-08-15,0,82.37569444,58.6,38.7,39.0,4.354275223346208,82.46527778,57.1,40.9,39.0,99.1,4.385392203977928,85.86805556,26.4,26.3,62.4,37.6,37.0,97.2,3.34507994221341,31.0
2018-08-16,0,90.16805556,61.5,37.6,37.8,2.09498057644226,82.37569444,58.6,38.7,39.0,97.0,4.354275223346208,82.46527778,26.0,25.9,57.1,40.9,39.0,99.1,4.385392203977928,32.0
2018-08-17,0,86.64583333,63.4,35.7,36.1,2.9647948874312884,90.16805556,61.5,37.6,37.8,98.0,2.09498057644226,82.37569444,26.6,26.6,58.6,38.7,39.0,97.0,4.354275223346208,33.0
2018-08-18,0,63.01180556,26.7,40.0,41.9,8.428397784555091,86.64583333,63.4,35.7,36.1,100.0,2.9647948874312884,90.16805556,25.3,25.4,61.5,37.6,37.8,98.0,2.09498057644226,34.0
2018-08-19,0,65.82083333,40.5,37.0,40.6,6.900604679482773,63.01180556,26.7,40.0,41.9,83.6,8.428397784555091,86.64583333,25.5,25.5,63.4,35.7,36.1,100.0,2.9647948874312884,35.0
2018-08-20,0,70.52152778,33.9,38.3,39.8,5.931646274854756,65.82083333,40.5,37.0,40.6,86.4,6.900604679482773,63.01180556,22.2,22.1,26.7,40.0,41.9,83.6,8.428397784555091,36.0
