Date/Time,T20,ST
2017/6/2 0:40,17.8,22.3
2017/6/2 0:50,17.9,22.1
2017/6/2 1:00,18.1,22
2017/6/2 1:10,18.2,21.9
2017/6/2 1:20,18.1,21.9
2017/6/2 1:30,17.9,21.8
2017/6/2 1:40,18,21.7
2017/6/2 1:50,17.9,21.6
2017/6/2 2:00,17.8,21.6
2017/6/2 2:10,18,21.5
2017/6/2 2:20,18,21.5
2017/6/2 2:30,17.8,21.5
2017/6/2 2:40,17.8,21.4
2017/6/2 2:50,17.8,21.4
2017/6/2 3:00,18.1,21.4
2017/6/2 3:10,17.6,21.3
2017/6/2 3:20,17.4,21.3
2017/6/2 3:30,17.1,21.2
2017/6/2 3:40,16.9,21.2
2017/6/2 3:50,16.8,21.1
2017/6/2 4:00,16.6,21
2017/6/2 4:10,16.5,20.9
2017/6/2 4:20,16.4,20.9
2017/6/2 4:30,16.4,20.9
2017/6/2 4:40,16.3,20.8
2017/6/2 4:50,16.4,20.8
2017/6/2 5:00,16.7,20.7
2017/6/2 5:10,17,20.7
2017/6/2 5:20,17.2,20.7
2017/6/2 5:30,17.2,20.7
2017/6/2 5:40,17.6,20.7
2017/6/2 5:50,18.1,20.7
2017/6/2 6:00,19,20.8
2017/6/2 6:10,19.6,20.9
2017/6/2 6:20,20,20.9
2017/6/2 6:30,20.9,21
2017/6/2 6:40,21.6,21.2
2017/6/2 6:50,21,21.3
2017/6/2 7:00,20.4,21.4
2017/6/2 7:10,20,21.4
2017/6/2 7:20,20.3,21.4
2017/6/2 7:30,20.5,21.4
2017/6/2 7:40,20.6,21.5
2017/6/2 7:50,21.9,21.5
2017/6/2 8:00,22.6,21.7
2017/6/2 8:10,22.1,21.8
2017/6/2 8:20,22.2,22
2017/6/2 8:30,23,22.1
2017/6/2 8:40,24.7,21.9
2017/6/2 8:50,23.4,22
2017/6/2 9:00,24.5,22.2
2017/6/2 9:10,28.1,22.4
2017/6/2 9:20,27.2,22.5
2017/6/2 9:30,27.2,22.8
2017/6/2 9:40,28.1,23.1
2017/6/2 9:50,26.7,23.3
2017/6/2 10:00,27.1,23.5
2017/6/2 10:10,28,23.9
2017/6/2 10:20,27.9,24.2
2017/6/2 10:30,28.6,24.5
2017/6/2 10:40,26.3,24.8
2017/6/2 10:50,24.5,24.8
2017/6/2 11:00,22.6,24.4
2017/6/2 11:10,27,24.5
2017/6/2 11:20,28,24.7
2017/6/2 11:30,25,24.7
2017/6/2 11:40,30.3,25.1
2017/6/2 11:50,29.5,25.6
2017/6/2 12:00,30.3,26.2
2017/6/2 12:10,29.7,26.6
2017/6/2 12:20,30.4,26.9
2017/6/2 12:30,31.3,26.9
2017/6/2 12:40,30.2,26.9
2017/6/2 12:50,27.2,26.7
2017/6/2 13:00,29.9,26.7
2017/6/2 13:10,29.8,27.2
2017/6/2 13:20,29.6,27.5
2017/6/2 13:30,29.8,27.5
2017/6/2 13:40,29.6,27.4
2017/6/2 13:50,29.7,27.4
2017/6/2 14:00,31,27.2
2017/6/2 14:10,30,27
